"sch_id","x","y","stunted","underweight","stunting.z","stunting.p","wasting.z","wasting.p","stunt.hi","under.hi"
1048,39.2925,-4.47106,0.24,0.3043478,-0.976244428922927,0.328943351100283,-1.0773769855793,0.281311881528533,0,0
1049,39.3349,-4.4283,0.2444444,0.15,-1.23095222966403,0.218340731407177,0.392363504031514,0.694789648051081,0,0
1050,39.3202,-4.47049,0.2121212,0.0714286,-1.66081640589811,0.0967503251833621,0.484605885705304,0.627955937864249,0,0
1051,39.3473,-4.47139,0.1875,0.2272727,-0.165587454444318,0.868481620891795,-0.653733572435261,0.5132834698007,0,0
1052,39.2138,-4.45092,0.26,0.125,0.213182166645917,0.831184877515386,-0.497696473040503,0.618697994389357,0,0
1053,39.2472,-4.53239,0.5,0.0666667,3.2453921749155,0.00117288972925345,-0.979238987341283,0.327461909025729,1,0
1054,39.2838,-4.57025,0.2,0.1052632,2.01028457842353,0.0444010781310005,-0.300873328890511,0.763511088969406,1,0
1055,39.2924,-4.45349,0.1851852,0.0625,-2.23037188149148,0.0257227647025116,-0.0855420660242225,0.93183045415768,-1,0
1056,39.2778,-4.51957,0.4807692,0.3333333,2.4084498240409,0.0160204282951693,0.227428228522176,0.820090772134931,1,0
1057,39.2431,-4.49216,0.4038461,0.1666667,1.90567412573592,0.0566924982832727,-1.52126267260906,0.128193933473423,0,0
1058,39.2655,-4.45851,0.1590909,0.3157895,-1.70739427403699,0.0877487939293596,-0.608080504941828,0.543134081370853,0,0
1059,39.2762,-4.40494,0.2,0.1538462,-2.24394931636703,0.024835662561034,-1.61140881072612,0.107090648122148,-1,0
1060,39.2974,-4.43177,0.1,0.08,-2.51071256533231,0.0120487757971486,-0.648924586041398,0.516387122291587,-1,0
1061,39.2626,-4.43424,0.0652174,0.2,-2.33044922285773,0.0197824207777698,-1.09354759015015,0.274153445958836,-1,0
1062,39.3194,-4.40751,0.1836735,0.15,0.00463615136202009,0.996300899658052,-0.38789535964172,0.698093472272308,0,0
1063,39.3462,-4.41113,0.2978723,0.2777778,0.94179321061261,0.346298521867788,-0.54953314876911,0.582639622199812,0,0
1064,39.4119,-4.47223,0.2307692,0.1428571,0.0602264898354469,0.951975248166479,-0.98619166839102,0.324039066963726,0,0
1065,39.3829,-4.43633,0.3265306,0.1904762,0.769414535414368,0.441647262408719,0.429794391068919,0.667345213330923,0,0
1066,39.3336,-4.39623,0.3333333,0.2857143,0.639332456551502,0.522606678441693,-0.54953314876911,0.582639622199812,0,0
1067,39.3807,-4.46259,0.3673469,0.2857143,0.595261038633787,0.551668995036956,-0.740640625523163,0.458911368642695,0,0
1068,39.4196,-4.40662,0.2,0.5714286,0.336998119955879,0.736118317354977,0.933458607789921,0.350583232365866,0,0
1069,39.3546,-4.39893,0.3061225,0.1851852,0.388785980333659,0.697434472619517,-0.792872240400017,0.427852262166492,0,0
1070,39.3727,-4.41669,0.1395349,0.375,0.385794266219401,0.699649042093205,-0.0758912424755529,0.939505624259126,0,0
1071,39.4018,-4.42026,0.3137255,0.3157895,-0.0634819588581989,0.949382725009923,1.47267574304765,0.140838490327935,0,0
1072,39.4732,-4.46422,0.3333333,0.2727273,1.54619809932864,0.122056732415101,0.124477228797292,0.900937428930877,0,0
1073,39.4566,-4.49223,0.3255814,0.3125,-0.151405803808541,0.879655611465498,-0.0997029340421578,0.92058017112301,0,0
1074,39.4592,-4.4734,0.4081633,0.2272727,1.40392718688431,0.160340532985504,0.200520535240751,0.841073499324883,0,0
1075,39.4774,-4.47892,0.2075472,0.2916667,1.54619809932864,0.122056732415101,0.124477228797292,0.900937428930877,0,0
1076,39.4572,-4.51007,0.0208333,0.1904762,-0.786216581506138,0.431740613391116,-0.580297521385453,0.561713998622184,0,0
